Date,Information
27 Apr 2022 a 23:02:06,Lancement...
27 Apr 2022 a 23:02:06,Erreur rencontrée. Fin.
28 Apr 2022 a 16:42:47,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:42:47,Détails de l'erreur: name 'b' is not defined
28 Apr 2022 a 16:43:19,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:43:19,Détails de l'erreur: name 'b' is not defined
28 Apr 2022 a 16:43:36,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:43:36,Détails de l'erreur: name 'b' is not definedaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
28 Apr 2022 a 16:43:41,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:43:41,Détails de l'erreur: name 'b' is not definedaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
28 Apr 2022 a 16:43:53,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:47:28,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:47:28,name 'b' is not defined   
28 Apr 2022 a 16:47:37,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:47:37,name 'b' is not defineda a a 
28 Apr 2022 a 16:48:32,Erreur rencontrée. Fin du programme.
28 Apr 2022 a 16:48:32,name 'b' is not defineda a a 
28 Apr 2022 a 16:56:14,État : Sommeil
28 Apr 2022 a 16:56:14,L'automate s'endort. Il ne se réveillera pas avant 4.7 bonnes minutes de repos.
28 Apr 2022 a 16:57:58,État : Sommeil
28 Apr 2022 a 16:57:58,L'automate s'endort. Il ne se réveillera pas avant 3.5 bonnes minutes de repos.
28 Apr 2022 a 16:58:35,État : Sommeil
28 Apr 2022 a 16:58:35,L'automate s'endort. Il ne se réveillera pas avant 2.3 bonnes minutes de repos.
28 Apr 2022 a 16:59:45,État : Sommeil
28 Apr 2022 a 16:59:45,L'automate s'endort. Il ne se réveillera pas avant 1.7 bonnes minutes de repos.
28 Apr 2022 a 17:00:19,État : Sommeil
28 Apr 2022 a 17:00:19,Reveil. La bougie vient de fermer.
28 Apr 2022 a 17:01:21,État : Sommeil
28 Apr 2022 a 17:01:21,L'automate s'endort. Il ne se réveillera pas avant 29.3 bonnes minutes de repos.
28 Apr 2022 a 17:04:12,État : Sommeil
28 Apr 2022 a 17:04:12,L'automate s'endort. Il ne se réveillera pas avant 26.5 bonnes minutes de repos.
28 Apr 2022 a 17:05:54,État : Sommeil
28 Apr 2022 a 17:05:54,Reveil. La bougie vient de fermer.
28 Apr 2022 a 17:06:03,État : Sommeil
28 Apr 2022 a 17:06:03,L'automate s'endort. Il ne se réveillera pas avant 24.5 bonnes minutes de repos.
28 Apr 2022 a 17:10:17,État : Sommeil
28 Apr 2022 a 17:10:17,L'automate s'endort. Il ne se réveillera pas avant 49.716 bonnes minutes de repos.
28 Apr 2022 a 17:11:24,État : Sommeil
28 Apr 2022 a 17:11:24,L'automate s'endort. Il ne se réveillera pas avant 28.799999999999997 bonnes minutes de repos.
28 Apr 2022 a 17:12:27,État : Sommeil
28 Apr 2022 a 17:12:27,L'automate s'endort. Il ne se réveillera pas avant 27.75 bonnes minutes de repos.
28 Apr 2022 a 17:13:03,État : Sommeil
28 Apr 2022 a 17:13:03,L'automate s'endort. Il ne se réveillera pas avant 17.12 bonnes minutes de repos.
28 Apr 2022 a 17:14:30,État : Sommeil
28 Apr 2022 a 17:14:30,L'automate s'endort. Il ne se réveillera pas avant 15.67 bonnes minutes de repos.
28 Apr 2022 a 17:15:25,État : Sommeil
28 Apr 2022 a 17:15:25,L'automate s'endort. Il ne se réveillera pas avant 14.7533 bonnes minutes de repos.
28 Apr 2022 a 17:16:00,État : Sommeil
28 Apr 2022 a 17:16:00,L'automate s'endort. Il ne se réveillera pas avant 14.17 bonnes minutes de repos.
28 Apr 2022 a 17:16:46,État : Sommeil
28 Apr 2022 a 17:16:46,L'automate s'endort. Il ne se réveillera pas avant 13.4033 bonnes minutes de repos.
28 Apr 2022 a 17:16:57,État : Sommeil
28 Apr 2022 a 17:16:57,L'automate s'endort. Il ne se réveillera pas avant 13.22 bonnes minutes de repos.
28 Apr 2022 a 17:17:45,État : Sommeil
28 Apr 2022 a 17:17:45,L'automate s'endort. Il ne se réveillera pas avant 12.42 bonnes minutes de repos.
28 Apr 2022 a 17:17:55,État : Sommeil
28 Apr 2022 a 17:17:55,L'automate s'endort. Il ne se réveillera pas avant 12.2533 bonnes minutes de repos.
28 Apr 2022 a 17:18:46,État : Sommeil
28 Apr 2022 a 17:18:46,L'automate s'endort. Il ne se réveillera pas avant 11.4033 bonnes minutes de repos.
28 Apr 2022 a 17:19:01,État : Sommeil
28 Apr 2022 a 17:19:01,L'automate s'endort. Il ne se réveillera pas avant 11.1533 bonnes minutes de repos.
28 Apr 2022 a 17:20:24,État : Sommeil
28 Apr 2022 a 17:20:24,L'automate s'endort. Il ne se réveillera pas avant 9.77 bonnes minutes de repos.
28 Apr 2022 a 17:20:35,État : Sommeil
28 Apr 2022 a 17:20:35,L'automate s'endort. Il ne se réveillera pas avant 9.59 bonnes minutes de repos.
